,tissue,cell line,disease,material,morphology,cell type,organism,test,amw,lipinskiHBD,CrippenMR,NumRotatableBonds,Hydrodynamic diameter (nm),hallKierAlpha,radii,lipinskiHBA,concentration (ug/ml),rox,labuteASA,NumHBA,mcd,CrippenClogP,Valance_electron,chi1v,chi2v,electronegativity,Zeta potential (mV),kappa1,chi0v,viability (%)
21,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5591732333425748,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.5449072938866936,-0.2020066424749144,-0.2668578788065878,83.505
22,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5311873217861786,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-1.1208399751686358,-0.2020066424749144,-0.2668578788065878,69.931
23,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.2513282062222157,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-1.0412534382307153,-0.2020066424749144,-0.2668578788065878,49.485
24,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5591732333425748,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.272772683711868,-0.2020066424749144,-0.2668578788065878,99.485
25,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5311873217861786,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.3737534510094448,-0.2020066424749144,-0.2668578788065878,89.519
26,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.2513282062222157,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.13470858379088727,-0.2020066424749144,-0.2668578788065878,85.911
27,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,2.5472629494174135,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.7594201102928455,-0.2020066424749144,-0.2668578788065878,3.9519
28,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5591732333425748,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.016612432205585576,-0.2020066424749144,-0.2668578788065878,82.847
29,4.0,0.0,11.0,2.0,8.0,1.0,0.0,11.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.5137348686382055,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5311873217861786,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,-0.5848431905580517,-0.2020066424749144,-0.2668578788065878,59.691
30,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.334703165076498,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5616608699253657,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,2.105124706662709,-0.2020066424749144,-0.2668578788065878,100.0
31,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.334703165076498,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5560636876140864,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,2.105124706662709,-0.2020066424749144,-0.2668578788065878,97.03
32,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.334703165076498,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5311873217861786,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,2.105124706662709,-0.2020066424749144,-0.2668578788065878,93.399
33,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.334703165076498,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5000918645012938,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,2.105124706662709,-0.2020066424749144,-0.2668578788065878,93.399
34,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.334703165076498,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.4379009499315243,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,2.105124706662709,-0.2020066424749144,-0.2668578788065878,92.739
35,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.334703165076498,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.2513282062222157,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,2.105124706662709,-0.2020066424749144,-0.2668578788065878,86.799
36,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.334703165076498,0.6709723601745731,0.15667798581472847,-0.840341936612612,0.05962636662663197,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,2.105124706662709,-0.2020066424749144,-0.2668578788065878,73.597
37,14.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.841234324924648,-0.15048330409480581,-0.6902773128604895,-0.40280626945520687,-0.3300408811295785,0.6709723601745731,0.15667798581472847,-0.840341936612612,-0.5622765599796063,1.5250833080139499,-0.2991335841763994,-0.8454198452988829,-0.869413308545786,0.5787696638690344,-0.45312056308962906,-0.7760450935813362,-0.25156706046823335,-0.03846423635129,0.36135230414833885,-0.2020066424749144,-0.2668578788065878,96.37
